country,region,n_vehicles,mean_eds,median_eds,mean_energy_into_battery,mean_total_energy,mean_battery,charge_points,PEVs,aver_temp
AT,Western,6559,30.055348066315332,27.449153695581636,1147.549750758745,24.01821193514538,13.557668639859305,22133,232140,7.35
BE,Western,17641,30.262426340753862,27.96536389091508,1590.9307481007772,22.52935502552184,14.14820817051888,52429,470303,10.47
BG,Central_Eastern,239,32.45266544503702,30.77113300086552,1412.9722727272729,26.011192827445782,13.699076745490066,2218,8495,11.98
CY,Southern,68,42.97952065239709,40.98985887600474,1632.4763518032617,20.959275047554403,17.98548202514648,372,2969,19.84
CZ,Central_Eastern,1011,32.115239082989085,30.312621072116404,1343.6235532994926,24.87017441413975,14.204567090458028,4892,37297,8.5
DE,Western,101671,30.842595150158626,28.185127405096207,998.0050261404513,22.97471563186281,13.507821926076069,130828,2592722,9.49
DK,Northern,11666,29.98767161459813,28.761443192412887,1265.1254107247012,20.1112547663918,12.250047093473306,25779,292196,8.92
EE,Northern,101,29.59238583185826,26.583752621893936,1033.5838250223162,24.775502445431275,13.36339551151389,560,6248,6.28
ES,Southern,11833,31.368020703276756,29.49010243676293,1082.2625831961466,21.75740207599836,13.21635225838889,28655,409677,14.25
FI,Northern,5136,35.77972256112303,34.31407270822674,1777.455290964846,21.98058509189927,13.32909462646904,12789,201018,2.3
FR,Western,38294,29.861462812082646,27.86729875959309,1067.2550525110764,22.79194049877675,13.100971370501137,127530,1708826,11.57
GR,Southern,1467,30.494247924186006,28.353029335167808,1080.8519380717566,23.641137245135315,13.309731219395047,4268,37760,14.89
HR,Central_Eastern,260,26.461027605149248,24.156745270304054,1071.367330677291,27.63416997374957,13.976132147545908,1378,9114,11.95
HU,Central_Eastern,1293,32.36646101946827,30.745038405377617,1494.0727566884818,25.301242941016,13.729791601259212,3566,72965,11.57
IE,Northern,2680,39.14948441687196,39.195188484131364,1992.6712868658872,23.214125272386305,14.017103511800347,2992,109037,9.95
IS,Other,741,24.578945328770505,20.043608925484683,1138.8355428004757,25.559993720993607,13.307923688772721,1678,29651,2.4
IT,Southern,21322,26.986151025481398,22.10005053555863,767.0127079723486,22.053128950838857,13.26834454592572,44429,534981,13.5
LT,Northern,177,30.769375834879185,29.043201282251545,1352.5331395348837,25.10118797976833,13.526324902550648,3047,19993,7.28
LU,Western,1224,32.032542766391686,30.767189131423425,1446.3364098221844,23.39512525567567,14.21037880486133,2133,48056,9.81
LV,Northern,87,29.90378555490992,27.777568254207708,897.9035294117647,20.234490839821078,13.20511106732248,698,6361,6.81
MT,Southern,260,48.348989679501784,49.05663388244521,963.603557312253,23.3433728263535,13.130764095599835,101,8107,20.28
NL,Western,10416,29.1434101491685,26.73523554292401,1470.79045056145,22.8207845413747,13.669591771274492,154219,773155,10.39
NO,Other,4198,29.102574636595122,25.743131039702835,1098.637945373811,19.842133191674428,13.577678807568928,25710,932105,2.06
PL,Central_Eastern,3859,30.37829215773847,27.604843199109297,1241.5920890823465,24.47063593048039,13.435639345106738,6649,113221,8.75
PT,Southern,5108,35.009037035041374,33.95565294900643,1528.2893804282905,22.06756084239425,13.270616610888489,9071,215133,16.09
RO,Central_Eastern,803,28.483233777994265,25.773623705465543,1304.652991694235,27.432578332732287,14.392395677841868,3031,53420,10.35
SE,Northern,16781,31.553907726916105,29.89690721649485,1420.2072783508343,21.64570771867214,12.689015547496977,43313,615201,3.02
SI,Central_Eastern,232,31.169532701325817,29.312263879612964,1518.0487660990207,24.648402306413114,13.440655208456105,1708,15500,9.9
SK,Central_Eastern,476,33.632278185314966,31.77910959485422,1755.755328798186,25.257459745837206,13.788989452168911,2635,16661,8.78
