country,region,mean_eds,mean_total_energy,mean_ice_energy,mean_electric_energy,mean_mass,mean_aer,mean_engine_power,mean_battery_capacity,n_vehicles,n_models,n_oems,median_eds,p25_eds,p75_eds,sd_eds,n_high_eds,n_medium_eds,n_low_eds,pct_high_eds,pct_medium_eds,pct_low_eds,temperature,power_to_weight,battery_to_weight,aer_to_mass,eds_aer_interaction,mass_aer_interaction,eds_mass_interaction,energy_density,range_efficiency,mass_squared,aer_squared,eds_squared,region_numeric,country_numeric,region_mass_interaction,country_mass_interaction,country_aer_interaction,country_eds_interaction,predicted_energy,residual
AT,Western,30.179745156501642,24.01821193514538,17.991580640763782,6.026631294381602,2214.322585694162,59.301455626858555,150.15573642197495,13.606741827542214,6389,187,28,27.520326961335527,15.143995689110346,42.439844776409906,18.854578074229977,1025,3118,2246,16.043199248708717,48.802629519486615,35.15417123180467,NA,0.0678111388973179,0.006144877858108769,0.026780856596948045,1789.7028182281815,131312.55255909305,66827.69133053558,0.006144877858108769,4.35824067057868,4903224.513515281,3516.662639464274,910.8170177113843,5,1,11071.612928470811,2214.322585694162,59.301455626858555,30.179745156501642,24.032556758526507,-0.014344823381126304
BE,Western,30.263267193312206,22.52935502552184,16.263465953752984,6.265889071768855,2167.0494412263783,62.5397809340396,141.25657971692596,14.17394521567096,17098,132,28,27.902496043132537,14.70199934041079,43.238521542405294,19.31052279838812,2851,8259,5988,16.674464849690022,48.303895192420164,35.02163995788981,NA,0.06518382877180039,0.0065406653609387105,0.028859415823317365,1892.6581006180527,135526.79732753063,65581.9962609518,0.0065406653609387105,4.412305817641691,4696103.280719559,3911.2241992776626,915.8653412138068,5,2,10835.247206131891,4334.098882452757,125.0795618680792,60.52653438662441,22.697702092817995,-0.16834706729615334
BG,Central_Eastern,32.16531723660548,26.011192827445782,18.881563231247917,7.1296295961978675,2229.268181818182,58.46022727272727,163.96363636363634,13.817577767916465,220,47,19,30.277918165619553,17.290391072923484,45.03449151872042,19.92761389444316,43,110,67,19.545454545454547,50,30.454545454545457,NA,0.07355043134824106,0.006198257293856366,0.026223954457129224,1880.3917559513284,130323.52456095042,71705.11827365252,0.006198257293856366,4.230859290581899,4969636.626466942,3417.598172778926,1034.6076329314697,1,3,2229.268181818182,6687.804545454545,175.3806818181818,96.49595170981644,25.543079405510206,0.4681134219355769
CY,Southern,43.414800131629,20.959275047554403,14.299218364011576,6.660056683542825,2112.921568627451,65.85106382978724,157.8181818181818,16.9397452890873,66,17,10,44.0602344139101,28.84107012651225,62.33983431741247,22.73006746707865,25,29,12,37.878787878787875,43.93939393939394,18.181818181818183,NA,0.07469192617532895,0.008017214429824443,0.031165881785457816,2858.9107746253567,139138.13308302045,91732.06759576882,0.008017214429824443,3.8873703651381906,4464437.555171088,4336.362607514713,1884.8448704692935,4,4,8451.686274509804,8451.686274509804,263.40425531914894,173.659200526516,21.741699546868833,-0.7824244993144305
CZ,Central_Eastern,32.31445212343884,24.87017441413975,17.70399285612914,7.166181558010609,2228.3055837563456,63.72822299651568,151.11776649746193,14.294110427895172,985,92,24,30.60094777779745,17.02826621289469,46.08658432187844,19.295368064580366,183,496,306,18.578680203045685,50.35532994923858,31.065989847715734,NA,0.06781734408380224,0.006414789125914681,0.028599409103075717,2059.34261093274,142005.95514600544,72006.47410268587,0.006414789125914681,4.458355300806205,4965345.774599709,4061.2864062936305,1044.223816038021,1,5,2228.3055837563456,11141.527918781729,318.6411149825784,161.57226061719422,24.753382894085373,0.11679152005437743
DE,Western,30.855980218062655,22.97471563186281,16.76179436894261,6.212921262920208,2081.019190273768,62.79941303550365,136.73336246970405,13.518958837885904,100676,150,28,28.198066952877568,13.793540478617668,45.26993757260665,20.612982868053503,19406,44972,36298,19.27569629305892,44.670030593190035,36.054273113751044,NA,0.06570499835309838,0.006496316276692971,0.030177238791941216,1937.7374463294466,130686.78366481171,64211.88696849615,0.006496316276692971,4.64528472854824,4330640.870287688,3943.7662776037855,952.0915152174739,5,6,10405.09595136884,12486.115141642607,376.7964782130219,185.13588130837593,22.683942835800952,0.2907727960618587
DK,Northern,30.10412136821022,20.1112547663918,14.31685635053046,5.79439841586134,2000.833698030632,59.73146608315102,124.84420131291054,12.265019758729721,11425,82,23,28.87391110828511,14.373033163882836,43.944155642483715,18.97257133810563,1886,5586,3953,16.50765864332604,48.89277899343545,34.59956236323851,NA,0.062396090907400954,0.006129954613820158,0.029853288727565482,1798.1633044683106,119512.73017194233,60233.34048311902,0.006129954613820158,4.870066845235752,4003335.487174934,3567.8480404426205,906.2581233519311,2,7,4001.667396061264,14005.835886214423,418.12026258205714,210.72884957747152,20.968408789023826,-0.8571540226320273
EE,Northern,29.78130908603837,24.775502445431275,18.178269738163614,6.597232707267664,2298.340206185567,61.86516853932584,176.30927835051546,13.339216281458276,97,33,18,26.583752621893936,16.711379387435727,40.06922048297019,17.43420302980537,13,53,31,13.402061855670103,54.63917525773196,31.958762886597935,NA,0.07671156684115386,0.00580384759643424,0.026917324238085787,1842.4257059295198,142187.204216379,68447.58006528152,0.00580384759643424,4.637841326954074,5282367.703369114,3827.2990783991922,886.9263708781516,2,8,4596.680412371134,18386.721649484534,494.92134831460675,238.25047268830696,24.54130469565848,0.23419774977279673
ES,Southern,31.33590379561378,21.75740207599836,15.95738867064095,5.80001340535741,2070.8007334963404,59.19357373613893,136.61040442144034,13.222578368551803,11454,263,27,29.364369711586953,12.597001129540566,46.40332953589285,21.456266750953333,2396,4961,4097,20.918456434433384,43.31237995460101,35.769163610965606,NA,0.06596984548618896,0.006385249026943697,0.02858487191869808,1854.8841319142202,122578.09591106621,64890.412564727776,0.006385249026943697,4.476704322428008,4288215.677848982,3503.8791716557166,981.9388666879622,4,9,8283.202933985362,18637.206601467064,532.7421636252503,282.023134160524,22.052694046806057,-0.2952919708076962
FI,Northern,35.83753359930758,21.98058509189927,14.08532951468398,7.895255577215289,2144.3743609909548,58.563704286276064,148.86059771922928,13.332970927111331,5086,111,23,34.372707522595775,19.82695163368094,50.51773294185398,20.49013793780513,1301,2504,1281,25.5800235941801,49.233189146677155,25.186787259142747,NA,0.06941912775455777,0.006217650784142896,0.027310391950038378,2098.7787200593316,125582.50595614647,76849.08821150706,0.006217650784142896,4.392397208876555,4598341.400075366,3429.7074597303895,1284.3288144814994,2,10,4288.7487219819095,21443.743609909547,585.6370428627606,358.37533599307574,22.273407294675096,-0.2928222027758274
