battery_category,region,n_vehicles,mean_eds,mean_battery,mean_aer,mean_energy
Large (≥15 kWh),Central_Eastern,1086,37.81465977219293,21.106186421185345,82.30243902439024,29.967662681082057
Large (≥15 kWh),Northern,3176,41.76428688653598,18.702329288982337,75.01359039190893,24.68990694302368
Large (≥15 kWh),Other,735,35.77608667543184,20.135829598303555,74.95520231213874,26.27582492732975
Large (≥15 kWh),Southern,4089,33.92538932731402,17.904224980131097,72.01300025490717,24.011983315228722
Large (≥15 kWh),Western,27331,34.00172024621982,18.76160702555524,76.25942690408462,25.67850136118968
Medium (10-15 kWh),Central_Eastern,6693,30.020308206309917,12.834979319120047,57.80644593166604,24.254247019889903
Medium (10-15 kWh),Northern,26676,32.46674730747105,12.846846226105738,58.55251608021184,21.3459098734504
Medium (10-15 kWh),Other,3993,27.540923125720454,12.914517651659896,64.78865069356893,19.551731419784446
Medium (10-15 kWh),Southern,34449,29.22257467261852,13.090213199720553,55.21425430238375,21.718574208440092
Medium (10-15 kWh),Western,140305,30.235773880582606,12.991230780305681,60.53392283308126,22.351077893123357
Small (<10 kWh),Central_Eastern,311,26.237829030326548,6.830983298691138,48.02013422818793,27.06617633430805
Small (<10 kWh),Northern,2990,26.097131088261143,6.11297752067794,51.00635451505017,20.46891422072029
Small (<10 kWh),Other,211,19.52264012133216,2.3353713257052884,51.89099526066351,20.513940441533492
Small (<10 kWh),Southern,1433,26.219277853168677,4.138794216573944,48.28520371694065,23.773399250041116
Small (<10 kWh),Western,8166,22.227664599388383,4.626629969264931,49.56769041769031,23.322208486995674
