country,region,n_vehicles,mean_eds,median_eds,sd_eds,min_eds,max_eds,p25_eds,p75_eds,p90_eds,p95_eds,mean_total_energy,median_total_energy,mean_ice_energy,mean_electric_energy,mean_mass,mean_aer,mean_battery_capacity,mean_engine_power,mean_energy_into_battery,total_energy_into_battery,mean_mileage,n_models,n_oems,n_segments,n_vehicle_bodies,n_eds_high70,n_eds_high50,n_eds_high30,n_eds_low30,n_eds_low20,n_eds_low10,pct_eds_high70,pct_eds_high50,pct_eds_high30,pct_eds_low30,pct_eds_low20,pct_eds_low10,temperature
AT,Western,6389,30.179745156501642,27.520326961335527,18.854578074229977,0,97.8236467947119,15.143995689110346,42.439844776409906,57.029651187027255,65.67450324195484,24.01821193514538,22.896968389420564,17.991580640763782,6.026631294381602,2214.322585694162,59.301455626858555,13.606741827542214,150.15573642197495,1147.549750758745,7331695.357597636,19217.092613039968,187,28,5,8,199,1025,2902,3487,2246,921,3.1147284395054,16.043199248708717,45.42181875097825,54.57818124902175,35.15417123180467,14.415401471278761,7.35
BE,Western,17098,30.263267193312206,27.902496043132537,19.31052279838812,0,99.18950212273252,14.70199934041079,43.238521542405294,56.9524181601285,65.5309388697608,22.52935502552184,21.748989959635132,16.263465953752984,6.265889071768855,2167.0494412263783,62.5397809340396,14.17394521567096,141.25657971692596,1590.9307481007772,27201733.931027133,24247.839882252225,132,28,5,8,563,2851,7922,9176,5988,2774,3.2927827816118844,16.674464849690022,46.332904433267046,53.66709556673295,35.02163995788981,16.22411978009124,10.47
BG,Central_Eastern,220,32.16531723660548,30.277918165619553,19.92761389444316,0,91.70018281535648,17.290391072923484,45.03449151872042,58.863733613768105,68.30533667033382,26.011192827445782,25.361060236724878,18.881563231247917,7.1296295961978675,2229.268181818182,58.46022727272727,13.817577767916465,163.96363636363634,1412.9722727272729,310853.89999999997,19106.585908203124,47,19,4,6,9,43,112,108,67,30,4.090909090909091,19.545454545454547,50.90909090909091,49.09090909090909,30.454545454545457,13.636363636363635,11.98
CY,Southern,66,43.414800131629,44.0602344139101,22.73006746707865,0.4424778761061947,87.95685412085035,28.84107012651225,62.33983431741247,73.92526225190039,78.94330612383246,20.959275047554403,19.61703654761879,14.299218364011576,6.660056683542825,2112.921568627451,65.85106382978724,16.9397452890873,157.8181818181818,1632.4763518032617,107743.43921901526,21485.365211440578,17,10,3,4,8,25,48,18,12,7,12.121212121212121,37.878787878787875,72.72727272727273,27.27272727272727,18.181818181818183,10.606060606060606,19.84
CZ,Central_Eastern,985,32.31445212343884,30.60094777779745,19.295368064580366,0,93.99109265765286,17.02826621289469,46.08658432187844,59.122487954011824,65.22593419430166,24.87017441413975,24.00036224057021,17.70399285612914,7.166181558010609,2228.3055837563456,63.72822299651568,14.294110427895172,151.11776649746193,1343.6235532994926,1323469.1999999988,17993.71015406885,92,24,5,7,33,183,501,484,306,118,3.3502538071065993,18.578680203045685,50.86294416243655,49.13705583756345,31.065989847715734,11.97969543147208,8.5
DE,Western,100676,30.855980218062655,28.198066952877568,20.612982868053503,0,99.1492398045996,13.793540478617668,45.26993757260665,60.04996404972769,68.79779704616057,22.97471563186281,22.01923554370609,16.76179436894261,6.212921262920208,2081.019190273768,62.79941303550365,13.518958837885904,136.73336246970405,998.0050261404513,100475154.01171552,16567.063799270953,150,28,5,8,4512,19406,47419,53256,36298,18346,4.481703683102229,19.27569629305892,47.10059994437602,52.89840677023322,36.054273113751044,18.222813778854942,9.49
DK,Northern,11425,30.10412136821022,28.87391110828511,18.97257133810563,0,95.6475824092932,14.373033163882836,43.944155642483715,56.185108266907285,63.00912467416427,20.1112547663918,19.556904291114975,14.31685635053046,5.79439841586134,2000.833698030632,59.73146608315102,12.265019758729721,124.84420131291054,1265.1254107247012,14454057.817529714,21150.146144801744,82,23,5,7,253,1886,5498,5927,3953,1996,2.2144420131291027,16.50765864332604,48.122538293216635,51.877461706783365,34.59956236323851,17.47045951859956,8.92
EE,Northern,97,29.78130908603837,26.583752621893936,17.43420302980537,0,78.35659687603855,16.711379387435727,40.06922048297019,55.153624424104365,62.83894025550514,24.775502445431275,22.40748754685705,18.178269738163614,6.597232707267664,2298.340206185567,61.86516853932584,13.339216281458276,176.30927835051546,1033.5838250223162,100257.63102716464,15294.641245919523,33,18,4,6,2,13,43,54,31,10,2.0618556701030926,13.402061855670103,44.329896907216494,55.670103092783506,31.958762886597935,10.309278350515463,6.28
ES,Southern,11454,31.33590379561378,29.364369711586953,21.456266750953333,0,98.44719884919306,12.597001129540566,46.40332953589285,61.92138286660904,69.63421370927479,21.75740207599836,21.165124286998584,15.95738867064095,5.80001340535741,2070.8007334963404,59.19357373613893,13.222578368551803,136.61040442144034,1082.2625831961466,12396235.627928706,18359.11622879389,263,27,5,8,560,2396,5617,5837,4097,2379,4.8891217042081365,20.918456434433384,49.039636808101974,50.960363191898026,35.769163610965606,20.770036668412782,14.25
FI,Northern,5086,35.83753359930758,34.372707522595775,20.49013793780513,0,95.18255156353958,19.82695163368094,50.51773294185398,64.2993220619108,71.1090615641323,21.98058509189927,21.386093040719288,14.08532951468398,7.895255577215289,2144.3743609909548,58.563704286276064,13.332970927111331,148.86059771922928,1777.455290964846,9040137.609847197,21999.40231786702,111,23,4,6,288,1301,2964,2122,1281,604,5.662603224537947,25.5800235941801,58.27762485253637,41.72237514746362,25.186787259142747,11.875737318128195,2.3
