segment,region,n_vehicles,mean_eds,mean_energy,mean_mass,mean_battery
LOWER MEDIUM CAR,Western,66464,32.868323343238096,19.88340730472659,1904.1041315599384,13.283557768483497
UPPER MEDIUM CAR,Western,65491,30.62137397730218,22.917208930807995,2101.141744667213,13.064042498337177
LARGE CAR,Western,34026,27.145264094970546,28.857222305497807,2516.358182192296,16.19212536891137
LOWER MEDIUM CAR,Southern,23092,29.38335850324851,20.58700407126848,1959.2361207796791,13.29135458900963
UPPER MEDIUM CAR,Northern,16291,33.73738957036943,21.608470406527385,2116.8373948806125,12.883158317515832
UPPER MEDIUM CAR,Southern,9881,32.80683642486648,21.457406441110997,2097.173926317936,13.009875710943588
LOWER MEDIUM CAR,Northern,8237,35.47220206131464,18.188513519320882,1891.708995993688,12.859342575791086
LARGE CAR,Northern,6702,29.262349737590522,25.621122001678103,2408.9217640839793,14.2102763734622
LARGE CAR,Southern,5032,23.94310334656894,29.813887869419293,2517.0327506085396,15.304882135072827
LARGE VAN,Western,3457,16.315772147477656,22.96803316240002,1923,0
UPPER MEDIUM CAR,Central_Eastern,3158,33.03302103093565,24.120608414775624,2154.1190626979105,12.755057124113119
MEDIUM VAN,Western,2706,26.305497646938928,23.11639507670687,2355.4726533628973,14.240038517573455
UPPER MEDIUM CAR,Other,2641,30.2849882130404,18.859122420442436,2138.7281332828466,13.134456099366108
LARGE CAR,Central_Eastern,2489,27.955411872649755,30.6447966368718,2534.493762575452,15.945485552385081
LOWER MEDIUM CAR,Central_Eastern,2000,32.251593214745455,20.007714749306075,1911.9669999999996,12.782484929370884
LOWER MEDIUM CAR,Other,1259,25.384206997130114,18.936818724821713,1933.296266878475,12.790742510097951
LARGE VAN,Northern,909,24.145807222787358,21.734027495425156,1923,0
LARGE CAR,Other,687,30.965614616443254,30.07940846308389,2668.404657933042,19.091494049116694
LARGE VAN,Southern,657,27.201217766308485,21.99256469391744,1923,0
MEDIUM VAN,Northern,500,22.75796582826463,22.843070049613036,2354.042,14.241223335266112
MEDIUM VAN,Southern,458,29.44785878186741,21.84846084275773,2325.788209606987,14.23562313146466
MEDIUM VAN,Central_Eastern,155,22.199695915924018,23.948791744766588,2365.232258064516,14.241223335266112
LARGE VAN,Other,132,15.232955218866405,21.27933524455986,1923,0
MEDIUM VAN,Other,82,22.876920516700775,22.92364982980644,2360.829268292683,14.241223335266112
LARGE VAN,Central_Eastern,18,12.78318871463152,25.067565596618216,1923,0
