eds_threshold_50,region,n_vehicles,mean_eds,mean_energy,mean_battery,mean_aer
High (>50%),Central_Eastern,1385,62.228763063668495,22.52222459441764,14.467202484495484,65.75121163166402
High (>50%),Northern,7488,62.23344213041282,20.331318694585192,13.602650921864361,62.82837620578796
High (>50%),Other,1027,62.67098558989234,20.454337083508324,14.663555406943724,71.9892578125
High (>50%),Southern,7618,63.13896769058901,19.238534901696738,13.394036908794329,59.114960838975236
High (>50%),Western,31185,62.50238701280131,20.817734313147422,14.057534329216075,65.40998634679113
Low (<20%),Central_Eastern,2640,10.466454738007018,26.987350871191346,13.082180869911847,55.83363553943791
Low (<20%),Northern,11639,9.735075702498767,21.980221023721246,12.201199533447543,57.872984220565456
Low (<20%),Other,2106,6.892661859035047,20.24732266181694,12.772353035092701,63.09874152952561
Low (<20%),Southern,15869,8.818489603336875,23.682722944569107,13.0701867822085,54.34691798267978
Low (<20%),Western,61951,10.041632548327149,24.1655069933225,12.951957185160502,60.67113031432479
Medium,Central_Eastern,3845,33.65399246684643,24.822715269422744,14.00467541755524,62.553101361573404
Medium,Northern,17091,34.471018972995466,21.35793958747937,12.855395475488626,59.44520426811292
Medium,Other,1668,34.90548993815085,21.195501516099604,13.859252523403946,65.16697135892746
Medium,Southern,15720,34.112027038889046,21.725119276322914,13.40430366675839,57.55654935511046
Medium,Western,79011,33.79298627200336,22.78211652219841,13.760240233021904,62.675038923273746
