variable,importance_mse
region_numeric,72.96787230903729
registration_year,39.769426982005996
aer_to_mass,37.26970810098258
aer,36.75101576559046
power_to_weight,36.25475465019945
range_efficiency,34.957755259896444
energy_density,33.44420843318134
mass,31.699173502591023
mass_aer_interaction,30.051692349245666
eds_aer_interaction,29.6987251508464
eds_mass_interaction,28.15313368544471
battery_to_weight,27.894861224242888
eds,27.675118344660994
battery_capacity,23.458408877770598
engine_displacement,20.13042896541484
engine_power,19.818374989207943
vehicle_length,15.221730551272213
fuel_type_numeric,5.011249268875547
